person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file
43.0,1,4,104075.0,18,2,2200.0,1,11.01,0.02,16.0,664,0
31.0,0,3,72963.0,12,3,4750.0,4,8.47,0.07,7.0,603,0
24.0,0,3,43833.0,5,3,8000.0,3,12.12,0.18,4.0,658,0
27.0,0,1,81679.0,8,3,8000.0,3,6.03,0.1,5.0,675,0
31.0,0,2,39461.0,8,4,12375.0,1,9.91,0.31,7.0,552,0
34.0,0,3,36969.0,12,3,4000.0,3,7.51,0.11,7.0,640,0
25.0,1,3,31480.0,1,3,2000.0,1,9.91,0.06,4.0,584,0
32.0,0,3,54919.0,8,2,2100.0,5,6.99,0.04,10.0,588,0
39.0,0,1,96952.0,16,4,5000.0,2,11.22,0.05,13.0,662,0
33.0,1,4,49154.0,7,3,4200.0,2,8.99,0.09,7.0,675,0
31.0,0,4,40761.0,8,3,1000.0,2,14.61,0.02,11.0,623,0
31.0,1,1,116814.0,10,3,20000.0,4,10.95,0.17,9.0,629,0
38.0,1,1,25270.0,11,4,6250.0,3,11.01,0.25,12.0,624,0
26.0,1,2,72773.0,0,2,1800.0,3,12.13,0.02,3.0,695,0
22.0,1,2,35572.0,0,3,9000.0,2,10.99,0.25,2.0,709,0
22.0,1,1,63425.0,0,3,12000.0,6,13.58,0.19,3.0,672,0
37.0,1,3,108958.0,12,3,12000.0,4,7.51,0.11,11.0,653,0
25.0,0,1,40975.0,1,3,3235.0,1,7.03,0.08,4.0,568,0
23.0,1,3,85101.0,3,3,12000.0,6,7.9,0.14,2.0,668,0
28.0,1,2,59279.0,5,3,15000.0,3,12.87,0.25,8.0,627,0
23.0,0,4,46963.0,0,3,2000.0,1,8.89,0.04,3.0,590,0
27.0,1,2,48964.0,4,3,6500.0,1,8.4,0.13,4.0,600,0
24.0,1,2,48724.0,0,2,7094.0,6,14.41,0.15,5.0,608,0
25.0,1,4,103093.0,1,3,15000.0,1,8.19,0.15,4.0,652,0
24.0,1,4,37026.0,1,3,4000.0,1,5.99,0.11,2.0,629,0
27.0,0,3,173641.0,1,2,11000.0,5,8.9,0.06,6.0,683,0
23.0,1,3,61262.0,0,3,3000.0,6,11.01,0.05,2.0,569,0
27.0,1,2,91865.0,3,2,4000.0,5,9.32,0.04,9.0,690,0
22.0,1,1,27969.0,0,2,4800.0,5,10.0,0.17,4.0,644,0
25.0,1,3,130905.0,1,3,8000.0,5,16.77,0.06,3.0,666,0
33.0,1,3,144768.0,14,2,8947.0,3,9.67,0.06,7.0,637,0
26.0,1,1,127092.0,4,4,4800.0,4,11.71,0.04,4.0,619,0
28.0,0,1,39498.0,7,3,12000.0,5,14.26,0.3,10.0,707,0
29.0,0,2,102919.0,4,2,7500.0,1,11.49,0.07,10.0,620,0
28.0,0,1,169340.0,3,3,25000.0,4,13.11,0.15,7.0,675,0
27.0,0,3,127069.0,7,2,5000.0,3,13.64,0.04,7.0,560,0
28.0,1,5,48851.0,8,3,6500.0,2,10.74,0.13,6.0,647,0
29.0,1,2,51644.0,7,4,2500.0,2,6.76,0.05,5.0,621,0
26.0,1,2,140055.0,6,2,5000.0,1,11.01,0.04,3.0,653,0
23.0,1,1,61061.0,1,2,4000.0,3,11.86,0.07,3.0,637,0
35.0,0,2,40861.0,11,3,7600.0,1,15.27,0.19,6.0,624,0
40.0,0,3,106514.0,19,2,8000.0,2,9.37,0.08,11.0,640,0
24.0,1,1,80687.0,3,3,25000.0,6,12.75,0.31,5.0,564,0
27.0,1,2,132985.0,6,2,5000.0,6,12.32,0.04,3.0,597,0
40.0,0,1,55937.0,17,2,10000.0,4,7.9,0.18,14.0,550,0
30.0,1,1,28387.0,9,3,3250.0,1,14.11,0.11,7.0,646,0
29.0,0,2,106706.0,5,2,15000.0,5,13.85,0.14,6.0,593,0
22.0,1,3,51510.0,0,2,2500.0,3,6.91,0.05,3.0,480,0
23.0,0,2,50109.0,0,3,6885.0,4,8.71,0.14,4.0,671,0
30.0,0,2,118633.0,8,2,20000.0,2,14.59,0.17,8.0,650,0
27.0,1,1,79376.0,5,2,10000.0,1,12.42,0.13,6.0,645,0
27.0,0,2,66035.0,4,3,10000.0,5,15.95,0.15,9.0,697,0
24.0,1,2,105196.0,5,2,7489.0,5,11.19,0.07,4.0,695,0
32.0,1,1,45869.0,9,3,1148.0,5,9.39,0.03,10.0,668,0
30.0,0,3,44123.0,6,3,13000.0,2,13.61,0.29,8.0,598,0
24.0,0,3,50202.0,3,3,10000.0,6,6.99,0.2,4.0,597,0
23.0,1,3,36869.0,0,3,6000.0,6,14.22,0.16,3.0,639,0
31.0,0,3,56555.0,7,3,10000.0,2,7.51,0.18,7.0,653,0
33.0,0,4,83586.0,9,3,7000.0,1,8.0,0.08,10.0,542,0
33.0,0,2,150927.0,12,3,9100.0,3,7.88,0.06,8.0,658,0
31.0,1,1,38255.0,9,3,2473.0,6,8.25,0.06,8.0,676,0
21.0,1,2,22366.0,0,4,6250.0,1,10.62,0.28,4.0,637,0
33.0,0,2,66926.0,11,2,8000.0,4,11.14,0.12,9.0,658,0
21.0,1,3,51397.0,2,3,1000.0,3,15.58,0.02,4.0,649,0
23.0,0,2,114961.0,1,3,20000.0,5,14.59,0.17,2.0,654,0
22.0,0,1,74600.0,2,3,10000.0,6,14.22,0.13,2.0,620,0
23.0,1,1,67644.0,1,3,12300.0,1,11.01,0.18,4.0,577,0
44.0,0,1,229542.0,26,2,8000.0,3,13.16,0.03,15.0,648,0
29.0,0,4,43203.0,5,3,12000.0,2,11.58,0.28,10.0,600,0
23.0,0,4,55276.0,3,3,12000.0,3,11.83,0.22,4.0,703,0
26.0,1,2,97887.0,4,2,9600.0,4,11.01,0.1,3.0,580,0
26.0,1,1,79035.0,3,3,4800.0,4,13.68,0.06,2.0,655,0
30.0,1,1,28108.0,6,3,12000.0,1,7.29,0.43,5.0,571,0
24.0,0,2,85978.0,3,2,5000.0,6,10.39,0.06,2.0,631,0
28.0,1,4,30926.0,4,3,10934.0,6,10.49,0.35,9.0,753,0
23.0,0,2,79253.0,0,2,9000.0,2,14.79,0.11,4.0,594,0
22.0,1,3,145016.0,0,2,22000.0,2,7.49,0.15,3.0,572,0
23.0,1,4,83836.0,0,2,15000.0,4,14.96,0.18,4.0,628,0
26.0,0,2,76926.0,8,2,3500.0,2,7.68,0.05,4.0,633,0
28.0,0,2,67070.0,4,3,5000.0,1,12.53,0.07,5.0,643,0
29.0,0,4,51668.0,6,3,10000.0,4,15.21,0.19,7.0,597,0
42.0,0,4,53351.0,20,3,6000.0,5,9.63,0.11,14.0,705,0
23.0,0,1,68223.0,1,2,15000.0,3,11.26,0.22,2.0,607,0
32.0,1,4,25295.0,10,3,8000.0,5,8.49,0.32,6.0,637,0
24.0,0,3,247174.0,0,2,11000.0,2,10.99,0.04,4.0,688,0
28.0,1,3,88177.0,1,3,29841.0,6,11.06,0.34,6.0,620,0
25.0,0,4,133055.0,1,3,5000.0,1,9.99,0.04,4.0,718,0
28.0,1,2,28591.0,5,4,4798.0,3,10.44,0.17,7.0,565,0
25.0,0,2,68100.0,3,2,8000.0,2,12.98,0.12,3.0,578,0
22.0,1,2,54854.0,0,2,5000.0,5,12.61,0.09,2.0,557,0
30.0,0,2,48927.0,6,3,7500.0,2,12.36,0.15,7.0,644,0
23.0,1,3,120733.0,1,2,25000.0,2,11.71,0.21,3.0,604,0
29.0,1,4,34292.0,8,3,10000.0,2,12.84,0.29,7.0,475,0
25.0,0,2,83753.0,0,3,8500.0,4,6.92,0.1,4.0,644,0
22.0,1,2,102624.0,0,2,6000.0,1,11.01,0.06,4.0,678,0
23.0,1,1,66391.0,0,3,19000.0,5,11.14,0.29,4.0,636,0
30.0,1,2,43983.0,5,4,15000.0,5,11.83,0.34,6.0,624,0
37.0,1,1,40403.0,13,3,10000.0,1,5.99,0.25,11.0,644,0
40.0,1,1,33760.0,17,2,6925.0,6,9.99,0.21,15.0,680,0
22.0,0,1,60983.0,0,4,3600.0,6,11.01,0.06,3.0,545,0
22.0,1,1,15013.0,0,2,1500.0,6,14.84,0.1,3.0,688,0
29.0,1,3,111908.0,8,3,13000.0,2,10.99,0.12,9.0,614,0
22.0,1,2,37190.0,0,3,3500.0,1,14.22,0.09,4.0,591,0
33.0,0,1,151031.0,12,3,25000.0,5,11.36,0.17,5.0,666,0
34.0,0,3,82448.0,12,2,15000.0,6,11.78,0.18,7.0,582,0
25.0,1,3,99464.0,4,2,15000.0,4,10.37,0.15,2.0,651,0
25.0,1,3,42790.0,2,3,10500.0,5,7.29,0.25,3.0,643,0
33.0,0,2,39737.0,9,3,2500.0,2,15.33,0.06,10.0,676,0
25.0,1,2,85060.0,5,3,12000.0,6,13.55,0.14,3.0,670,0
24.0,0,1,94627.0,4,2,3600.0,5,5.42,0.04,4.0,623,0
25.0,1,1,79334.0,2,3,4000.0,3,6.62,0.05,2.0,607,0
23.0,0,2,58944.0,1,2,12000.0,1,11.36,0.2,3.0,606,0
42.0,0,3,90875.0,19,2,9600.0,6,11.99,0.11,11.0,693,0
21.0,1,4,51309.0,0,3,1500.0,6,5.79,0.03,3.0,696,0
25.0,1,3,75451.0,0,3,10800.0,2,15.65,0.14,4.0,656,0
38.0,0,3,78947.0,14,2,11500.0,2,13.92,0.15,16.0,682,0
27.0,0,4,70438.0,7,3,7262.0,6,11.42,0.1,6.0,737,0
26.0,1,2,83887.0,2,3,14016.0,1,12.75,0.17,3.0,560,0
36.0,0,1,53649.0,14,3,16000.0,3,14.34,0.3,10.0,512,0
27.0,0,3,43853.0,4,3,8000.0,5,13.92,0.18,9.0,542,0
22.0,0,3,64656.0,0,2,6500.0,6,13.61,0.1,3.0,683,0
24.0,0,3,34083.0,2,3,5000.0,3,15.07,0.15,4.0,680,0
24.0,1,3,39480.0,0,3,1900.0,2,13.49,0.05,2.0,649,0
24.0,0,3,74290.0,1,3,11200.0,3,9.99,0.15,3.0,620,0
33.0,1,2,29877.0,12,3,5000.0,5,10.65,0.17,7.0,506,0
29.0,0,4,28002.0,7,3,3000.0,6,10.09,0.11,4.0,670,0
34.0,0,2,48928.0,10,3,1200.0,5,7.88,0.02,8.0,652,0
52.0,1,3,58544.0,32,3,11000.0,2,12.73,0.19,22.0,684,0
22.0,1,3,70461.0,0,2,11050.0,2,6.54,0.16,4.0,645,0
35.0,0,2,70418.0,15,3,9000.0,5,11.0,0.13,10.0,647,0
26.0,1,4,157279.0,3,2,35000.0,3,18.25,0.22,4.0,693,0
23.0,1,1,59480.0,4,3,4800.0,6,11.36,0.08,4.0,577,0
23.0,1,2,47666.0,0,3,10000.0,4,15.2,0.21,4.0,706,0
24.0,1,1,42879.0,0,2,15000.0,2,14.27,0.35,2.0,597,0
28.0,0,2,59853.0,4,3,3000.0,5,11.01,0.05,5.0,663,0
26.0,1,4,89029.0,8,2,17500.0,1,11.01,0.2,3.0,707,0
23.0,1,2,72776.0,2,2,10000.0,6,11.26,0.14,3.0,492,0
24.0,1,2,76551.0,2,3,16716.0,2,15.72,0.22,4.0,625,0
22.0,0,4,127015.0,4,2,16000.0,3,12.73,0.13,4.0,682,0
23.0,1,3,54979.0,0,3,14542.0,3,10.41,0.26,4.0,675,0
23.0,0,4,189903.0,1,3,10000.0,6,12.69,0.05,2.0,637,0
22.0,1,2,46412.0,0,2,1950.0,6,7.37,0.04,4.0,585,0
33.0,0,5,80786.0,14,2,10000.0,2,10.79,0.12,7.0,683,0
23.0,0,3,114893.0,3,2,4400.0,2,7.9,0.04,3.0,614,0
23.0,0,2,65923.0,4,2,10000.0,6,11.49,0.15,4.0,667,0
29.0,1,2,100669.0,5,3,10000.0,6,11.99,0.1,6.0,709,0
57.0,0,1,78215.0,32,3,8000.0,1,8.9,0.1,19.0,673,0
38.0,0,2,71076.0,15,3,5000.0,5,8.21,0.07,10.0,683,0
22.0,0,3,45162.0,0,3,16000.0,1,7.9,0.35,2.0,632,0
22.0,0,1,61193.0,0,2,15000.0,6,8.78,0.25,3.0,658,0
44.0,1,1,73000.0,24,4,11800.0,3,8.63,0.16,12.0,581,0
23.0,0,2,59971.0,0,2,9600.0,5,5.42,0.16,3.0,573,0
26.0,0,1,147841.0,5,2,4800.0,6,11.01,0.03,3.0,676,0
28.0,1,3,39647.0,6,3,2500.0,2,15.99,0.06,5.0,642,0
29.0,1,4,31388.0,8,3,10000.0,4,11.34,0.32,5.0,648,0
27.0,0,3,128256.0,3,2,4744.0,4,7.78,0.04,6.0,683,0
22.0,0,2,151143.0,1,1,10000.0,1,14.74,0.07,2.0,688,0
25.0,1,1,37359.0,0,2,5000.0,2,10.0,0.13,2.0,617,0
37.0,0,1,313076.0,13,2,20000.0,1,14.96,0.06,12.0,673,0
31.0,0,3,124528.0,8,2,4269.0,1,6.85,0.03,7.0,675,0
23.0,1,1,78861.0,1,2,5000.0,6,11.01,0.06,2.0,572,0
25.0,0,1,73054.0,5,2,8000.0,5,5.79,0.11,2.0,663,0
22.0,0,3,70373.0,3,1,15000.0,5,13.79,0.21,4.0,669,0
41.0,0,1,58560.0,16,3,11000.0,2,7.66,0.19,15.0,708,0
27.0,0,1,55370.0,2,2,3000.0,2,6.99,0.05,7.0,603,0
23.0,0,1,19312.0,4,2,2800.0,3,8.49,0.14,3.0,661,0
38.0,0,2,28294.0,14,3,10000.0,6,13.48,0.35,16.0,691,0
23.0,0,3,54969.0,4,3,15000.0,3,12.84,0.27,3.0,652,0
30.0,0,4,42869.0,3,2,9500.0,4,11.99,0.22,8.0,679,0
28.0,0,2,133093.0,6,2,12000.0,2,8.94,0.09,7.0,460,0
21.0,1,2,19367.0,0,4,2500.0,2,6.03,0.13,2.0,673,0
31.0,1,1,132997.0,11,2,5000.0,1,14.96,0.04,9.0,706,0
27.0,0,3,90908.0,2,3,14000.0,6,9.64,0.15,5.0,698,0
23.0,0,2,73062.0,0,3,15000.0,1,11.83,0.21,3.0,697,0
25.0,0,3,40534.0,1,2,4400.0,6,8.0,0.11,3.0,626,0
30.0,0,2,217320.0,11,2,20000.0,5,11.48,0.09,8.0,668,0
25.0,0,2,58841.0,1,3,6000.0,6,10.74,0.1,4.0,671,0
24.0,1,2,44112.0,3,3,2500.0,4,16.77,0.06,3.0,566,0
30.0,0,4,49022.0,9,2,8600.0,4,10.65,0.18,6.0,600,0
28.0,1,2,35783.0,7,3,4200.0,2,7.51,0.12,5.0,649,0
36.0,1,2,69108.0,14,3,3000.0,6,13.08,0.04,12.0,689,0
23.0,1,1,34540.0,0,3,6000.0,3,9.63,0.17,4.0,664,0
26.0,0,3,145005.0,2,2,25000.0,5,11.01,0.17,3.0,619,0
34.0,1,1,154645.0,8,2,3000.0,5,11.01,0.02,10.0,569,0
47.0,1,1,225202.0,25,2,14000.0,4,8.9,0.06,16.0,649,0
22.0,1,4,32518.0,0,2,4400.0,1,11.49,0.14,3.0,625,0
30.0,0,1,84680.0,8,2,8000.0,6,9.91,0.09,5.0,654,0
30.0,1,3,28747.0,7,4,7000.0,1,7.51,0.24,8.0,650,0
21.0,0,2,50302.0,1,3,7000.0,1,5.79,0.14,2.0,681,0
25.0,0,1,36501.0,1,3,3000.0,4,12.21,0.08,4.0,675,0
32.0,1,3,37132.0,10,3,8000.0,1,7.74,0.22,9.0,666,0
24.0,1,2,90673.0,4,3,11054.0,2,10.05,0.12,4.0,678,0
29.0,1,1,61046.0,9,4,9725.0,1,12.12,0.16,7.0,664,0
24.0,1,1,58425.0,0,2,4800.0,5,10.05,0.08,2.0,603,0
24.0,1,1,78796.0,0,2,3300.0,6,7.51,0.04,2.0,628,0
24.0,0,4,95223.0,0,3,7000.0,1,6.03,0.07,3.0,574,0
42.0,1,3,42725.0,20,3,3252.0,6,8.73,0.08,10.0,667,0
30.0,0,3,48796.0,8,3,2400.0,2,8.49,0.05,10.0,526,0
29.0,1,1,38211.0,5,3,5000.0,6,13.24,0.13,9.0,610,0
40.0,0,4,66930.0,17,2,6000.0,3,9.76,0.09,14.0,727,0
22.0,1,2,63504.0,0,2,2650.0,1,12.99,0.04,3.0,654,0
22.0,1,3,32784.0,3,3,10000.0,3,15.41,0.31,2.0,525,0
30.0,1,2,49005.0,7,3,16000.0,5,11.48,0.33,8.0,605,0
24.0,0,2,47400.0,1,3,10000.0,5,11.01,0.21,3.0,658,0
26.0,0,4,35991.0,1,3,1000.0,2,7.74,0.03,4.0,627,0
27.0,0,1,29953.0,6,4,8500.0,1,5.42,0.28,6.0,583,0
23.0,1,1,41843.0,0,4,10950.0,1,7.29,0.26,2.0,644,0
27.0,1,2,63265.0,2,2,8000.0,5,8.9,0.13,10.0,696,0
22.0,1,3,106465.0,2,2,25000.0,5,15.35,0.23,4.0,569,0
23.0,1,2,73365.0,1,3,9600.0,6,14.65,0.13,2.0,683,0
29.0,1,2,50133.0,5,3,3500.0,5,11.97,0.07,9.0,673,0
22.0,1,2,66830.0,4,2,13000.0,3,13.85,0.19,3.0,658,0
33.0,0,2,138904.0,12,3,14398.0,1,11.11,0.1,5.0,621,0
23.0,0,3,44401.0,0,3,7000.0,6,8.04,0.16,4.0,637,0
23.0,1,2,109167.0,0,3,25000.0,5,11.36,0.23,3.0,678,0
28.0,1,2,51242.0,6,3,10000.0,6,9.32,0.2,9.0,671,0
31.0,1,2,41705.0,9,3,12000.0,2,13.16,0.29,9.0,600,0
25.0,1,3,67186.0,4,3,3600.0,5,8.9,0.05,3.0,672,0
28.0,0,4,64302.0,5,2,14500.0,2,7.29,0.23,7.0,680,0
22.0,1,2,37123.0,0,3,6000.0,6,14.79,0.16,4.0,652,0
24.0,1,3,49640.0,6,3,6000.0,6,7.68,0.12,4.0,626,0
29.0,1,4,152213.0,6,2,6226.0,1,9.69,0.04,8.0,669,0
23.0,0,2,41467.0,0,3,9000.0,3,11.01,0.22,4.0,582,0
37.0,0,3,124342.0,15,3,10000.0,6,15.62,0.08,12.0,563,0
31.0,0,2,37157.0,7,3,7200.0,3,15.96,0.19,6.0,665,0
24.0,1,1,107717.0,4,2,25000.0,1,15.65,0.23,4.0,576,0
21.0,0,2,36861.0,1,2,3000.0,3,5.99,0.08,4.0,645,0
30.0,0,2,100638.0,9,2,5851.0,1,10.33,0.06,8.0,690,0
23.0,1,2,78997.0,0,3,16000.0,3,14.59,0.2,4.0,662,0
37.0,1,3,58810.0,17,3,3000.0,6,6.99,0.05,14.0,646,0
25.0,1,2,94604.0,2,2,25000.0,4,9.64,0.26,4.0,615,0
27.0,0,1,85004.0,5,2,5600.0,3,5.42,0.07,7.0,675,0
22.0,1,2,44761.0,0,3,18725.0,1,6.54,0.42,3.0,667,0
22.0,0,4,67145.0,0,2,4800.0,2,12.98,0.07,4.0,691,0
25.0,1,2,54928.0,5,3,10025.0,2,5.42,0.18,4.0,690,0
22.0,0,2,21790.0,0,2,1000.0,1,11.36,0.05,2.0,686,0
28.0,1,4,77603.0,7,2,7210.0,2,7.37,0.09,8.0,724,0
33.0,0,1,135983.0,12,2,25000.0,6,9.28,0.18,10.0,722,0
25.0,1,4,93823.0,6,2,6149.0,2,6.01,0.07,5.0,582,0
22.0,0,3,85072.0,0,2,14400.0,1,11.71,0.17,4.0,650,0
24.0,1,1,86886.0,1,3,3000.0,4,7.43,0.03,2.0,628,0
28.0,1,4,97237.0,7,3,22000.0,1,9.76,0.23,9.0,639,0
24.0,1,2,49307.0,3,3,2000.0,3,11.4,0.04,3.0,585,0
29.0,0,2,141988.0,5,4,20000.0,1,6.17,0.14,9.0,606,0
23.0,1,1,67647.0,0,3,8000.0,5,11.01,0.12,3.0,691,0
22.0,0,2,20983.0,0,3,3050.0,6,9.91,0.15,3.0,612,0
38.0,1,1,150467.0,16,2,25000.0,5,13.02,0.17,13.0,628,0
23.0,1,1,84715.0,0,4,10000.0,6,11.01,0.12,4.0,558,0
29.0,1,2,49847.0,8,2,8000.0,3,14.91,0.16,8.0,628,0
27.0,1,5,61298.0,3,2,15000.0,1,10.62,0.24,5.0,730,0
32.0,0,3,93452.0,14,2,10000.0,6,16.77,0.11,8.0,677,0
23.0,1,4,18211.0,0,3,3000.0,4,8.0,0.16,3.0,623,0
28.0,1,2,61106.0,4,2,8000.0,3,5.99,0.13,6.0,594,0
29.0,1,3,121261.0,5,4,10000.0,3,6.92,0.08,8.0,649,0
25.0,1,3,73071.0,4,4,10000.0,5,16.49,0.14,3.0,647,0
35.0,1,5,129022.0,12,2,8000.0,5,6.92,0.06,9.0,636,0
25.0,0,2,77856.0,0,2,8000.0,1,8.45,0.1,4.0,650,0
24.0,1,1,57549.0,0,2,7500.0,6,7.65,0.13,5.0,642,0
39.0,1,2,75910.0,13,3,20000.0,3,12.68,0.26,13.0,697,0
28.0,1,4,36885.0,5,2,15000.0,1,11.01,0.41,9.0,679,0
28.0,1,2,31450.0,6,3,11500.0,3,14.46,0.37,7.0,622,0
47.0,1,3,214500.0,24,2,9000.0,5,11.18,0.04,17.0,521,0
43.0,1,1,55864.0,15,3,13000.0,2,15.7,0.23,13.0,643,0
33.0,1,4,175018.0,9,3,1800.0,2,12.99,0.01,6.0,681,0
23.0,0,1,54067.0,2,2,6500.0,6,7.51,0.12,4.0,613,0
31.0,0,4,29041.0,9,3,5000.0,6,11.14,0.17,8.0,634,0
32.0,1,2,75334.0,10,2,6000.0,3,11.36,0.08,6.0,673,0
24.0,1,1,511121.0,2,2,10000.0,6,7.88,0.02,2.0,678,0
29.0,0,1,109095.0,10,3,16163.0,6,12.48,0.15,9.0,595,0
23.0,0,2,41759.0,1,4,3200.0,1,7.14,0.08,3.0,514,0
22.0,1,4,48497.0,1,3,5113.0,5,9.39,0.11,4.0,588,0
26.0,0,3,83651.0,4,2,15000.0,3,7.49,0.18,3.0,506,0
31.0,1,3,59987.0,8,3,7000.0,5,12.69,0.12,6.0,550,0
